ModelInstance: TTC_InputRDG_A.xmi
<timeTaken: 3.6472001 second(s), bestFitness: -3.0, mutating: OptionalDouble[7295.108896402079], matching: OptionalDouble[34984.10280692603]>
<timeTaken: 1.955495 second(s), bestFitness: -3.0, mutating: OptionalDouble[3324.586866753953], matching: OptionalDouble[20360.46971373393]>
<timeTaken: 1.5313975 second(s), bestFitness: -2.5, mutating: OptionalDouble[2923.0454454354144], matching: OptionalDouble[15100.56265187105]>
<timeTaken: 1.24631 second(s), bestFitness: -1.5, mutating: OptionalDouble[2743.7229075338973], matching: OptionalDouble[11493.07399152222]>
<timeTaken: 1.5919536 second(s), bestFitness: -2.5, mutating: OptionalDouble[2889.662807744806], matching: OptionalDouble[15834.704564132373]>
<timeTaken: 1.6392082 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[3123.9085032820562], matching: OptionalDouble[16294.537373004354]>
<timeTaken: 1.4200311 second(s), bestFitness: -2.0, mutating: OptionalDouble[3281.036322418136], matching: OptionalDouble[13325.276303402969]>
<timeTaken: 1.4367995 second(s), bestFitness: -1.6666666666666665, mutating: OptionalDouble[3333.632412467112], matching: OptionalDouble[13236.12584546829]>
<timeTaken: 1.299587 second(s), bestFitness: -2.0, mutating: OptionalDouble[2870.8134], matching: OptionalDouble[12059.46276777977]>
<timeTaken: 1.3145374 second(s), bestFitness: -2.5, mutating: OptionalDouble[2890.138707704851], matching: OptionalDouble[12027.971694555272]>
<timeTaken: 1.6509449 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2931.34285], matching: OptionalDouble[16269.022526697561]>
<timeTaken: 1.2324519 second(s), bestFitness: -3.0, mutating: OptionalDouble[2741.63165], matching: OptionalDouble[11462.572549570523]>
<timeTaken: 1.9107665 second(s), bestFitness: -3.0, mutating: OptionalDouble[2896.3037866182626], matching: OptionalDouble[19974.562742277107]>
<timeTaken: 1.218389399 second(s), bestFitness: -1.6666666666666665, mutating: OptionalDouble[2688.34205], matching: OptionalDouble[11383.510916678426]>
<timeTaken: 1.985084899 second(s), bestFitness: -3.0, mutating: OptionalDouble[3065.9128], matching: OptionalDouble[21023.944830486413]>
<timeTaken: 1.296442001 second(s), bestFitness: -2.0, mutating: OptionalDouble[2901.156362906463], matching: OptionalDouble[12094.66928359168]>
<timeTaken: 1.3859864 second(s), bestFitness: -1.6666666666666665, mutating: OptionalDouble[4191.2208737864075], matching: OptionalDouble[9625.546664979116]>
<timeTaken: 1.7610559 second(s), bestFitness: -2.5, mutating: OptionalDouble[3308.1743527508092], matching: OptionalDouble[17710.88934802571]>
<timeTaken: 1.994166501 second(s), bestFitness: -3.0, mutating: OptionalDouble[3188.3246062794665], matching: OptionalDouble[20948.53376063208]>
<timeTaken: 1.6360395 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2999.0581605049592], matching: OptionalDouble[16160.828535920462]>
<timeTaken: 1.6225393 second(s), bestFitness: -2.5, mutating: OptionalDouble[2858.4997], matching: OptionalDouble[16101.840744320927]>
<timeTaken: 2.003721001 second(s), bestFitness: -3.0, mutating: OptionalDouble[3116.61655], matching: OptionalDouble[21273.13315490804]>
<timeTaken: 1.2995822 second(s), bestFitness: -2.0, mutating: OptionalDouble[3012.6236071194476], matching: OptionalDouble[12043.996970912738]>
<timeTaken: 1.2042733 second(s), bestFitness: -2.25, mutating: OptionalDouble[2661.7289790167565], matching: OptionalDouble[11108.55272887148]>
<timeTaken: 1.8831047 second(s), bestFitness: -3.0, mutating: OptionalDouble[2829.6396609998487], matching: OptionalDouble[19762.38583922032]>
<timeTaken: 1.1546311 second(s), bestFitness: -1.6666666666666665, mutating: OptionalDouble[3062.495215311005], matching: OptionalDouble[7941.6575578159]>
<timeTaken: 1.5682652 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2761.8254], matching: OptionalDouble[15654.495773287175]>
<timeTaken: 1.2649608 second(s), bestFitness: -2.1666666666666665, mutating: OptionalDouble[2796.538751507841], matching: OptionalDouble[11745.313214586593]>
<timeTaken: 1.6223631 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2912.653197089333], matching: OptionalDouble[15762.419229626696]>
<timeTaken: 1.3869537 second(s), bestFitness: -2.0, mutating: OptionalDouble[3107.9103285441574], matching: OptionalDouble[13182.886747228602]>
