ModelInstance: TTC_InputRDG_A.xmi
<timeTaken: 3.2296094 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[40214.915], mutation: OptionalDouble[6227.21], entireMutation: OptionalDouble[83936.71843687375], copy: OptionalDouble[7959.478957915831], matching: OptionalDouble[29006.844913301808]>
<timeTaken: 2.1513421 second(s), bestFitness: -3.0, evaluation: OptionalDouble[35029.72], mutation: OptionalDouble[3541.685], entireMutation: OptionalDouble[64116.90380761523], copy: OptionalDouble[5236.397795591182], matching: OptionalDouble[22590.119398168692]>
<timeTaken: 1.3698705 second(s), bestFitness: -1.1666666666666667, evaluation: OptionalDouble[22719.355], mutation: OptionalDouble[3805.2406912157994], entireMutation: OptionalDouble[38364.268537074146], copy: OptionalDouble[4531.698396793588], matching: OptionalDouble[12298.753726893261]>
<timeTaken: 2.0222355 second(s), bestFitness: -3.0, evaluation: OptionalDouble[34422.4], mutation: OptionalDouble[3207.293810551679], entireMutation: OptionalDouble[58962.4248496994], copy: OptionalDouble[4765.215430861724], matching: OptionalDouble[20794.36412396911]>
<timeTaken: 1.3048625 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21647.455], mutation: OptionalDouble[2950.843238849944], entireMutation: OptionalDouble[36780.816633266535], copy: OptionalDouble[4229.263527054109], matching: OptionalDouble[12034.724876572702]>
<timeTaken: 1.3142128 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[22151.625], mutation: OptionalDouble[3117.0667742586243], entireMutation: OptionalDouble[36875.53607214429], copy: OptionalDouble[4070.6963927855713], matching: OptionalDouble[12120.57343358396]>
<timeTaken: 1.2898758 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21992.32], mutation: OptionalDouble[2997.734709287692], entireMutation: OptionalDouble[35918.807615230464], copy: OptionalDouble[4046.568136272545], matching: OptionalDouble[11769.23308814663]>
<timeTaken: 1.9596302 second(s), bestFitness: -3.0, evaluation: OptionalDouble[31938.185], mutation: OptionalDouble[3200.689204145286], entireMutation: OptionalDouble[58602.259519038074], copy: OptionalDouble[4555.566132264529], matching: OptionalDouble[20621.80625549956]>
<timeTaken: 1.2784729 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[21588.99], mutation: OptionalDouble[2975.1201011378002], entireMutation: OptionalDouble[35880.701402805615], copy: OptionalDouble[3916.3326653306613], matching: OptionalDouble[11682.195267448797]>
<timeTaken: 1.2976813 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[21494.875], mutation: OptionalDouble[2991.6696135387724], entireMutation: OptionalDouble[36425.70641282565], copy: OptionalDouble[4447.124248496994], matching: OptionalDouble[11930.101827312037]>
<timeTaken: 1.626901 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[28025.365], mutation: OptionalDouble[3151.9716682573967], entireMutation: OptionalDouble[46423.45190380762], copy: OptionalDouble[4297.980961923848], matching: OptionalDouble[15918.692978578032]>
<timeTaken: 1.205495 second(s), bestFitness: -0.85, evaluation: OptionalDouble[15797.06], mutation: OptionalDouble[6614.962593516209], entireMutation: OptionalDouble[36830.01503006012], copy: OptionalDouble[3879.8246492985973], matching: OptionalDouble[8374.415428390768]>
