ModelInstance: TTC_InputRDG_A.xmi
<timeTaken: 2.849066601 second(s), bestFitness: -1.75, mutating: OptionalDouble[6950.347189371446], matching: OptionalDouble[22448.341161706703]>
<timeTaken: 1.2702504 second(s), bestFitness: -2.0, mutating: OptionalDouble[2753.931396534149], matching: OptionalDouble[11833.327497507478]>
<timeTaken: 1.3495141 second(s), bestFitness: -2.25, mutating: OptionalDouble[4013.7564766839378], matching: OptionalDouble[9182.552851182198]>
<timeTaken: 1.2574008 second(s), bestFitness: -1.6666666666666665, mutating: OptionalDouble[3710.3363844393593], matching: OptionalDouble[8526.62543033617]>
<timeTaken: 1.8562511 second(s), bestFitness: -3.0, mutating: OptionalDouble[2710.490206002936], matching: OptionalDouble[19396.6682475836]>
<timeTaken: 1.568613 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2659.766], matching: OptionalDouble[15387.150616434197]>
<timeTaken: 1.5743903 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2627.772507997766], matching: OptionalDouble[15178.441218087968]>
<timeTaken: 1.359875601 second(s), bestFitness: -2.5, mutating: OptionalDouble[2682.294579850858], matching: OptionalDouble[13103.47201848689]>
<timeTaken: 1.135877901 second(s), bestFitness: -2.0, mutating: OptionalDouble[2436.4617346938776], matching: OptionalDouble[7837.818166869055]>
<timeTaken: 1.923575201 second(s), bestFitness: -3.0, mutating: OptionalDouble[2780.875257991442], matching: OptionalDouble[20105.337288578725]>
<timeTaken: 1.2342345 second(s), bestFitness: -1.75, mutating: OptionalDouble[2605.7725845655254], matching: OptionalDouble[11252.708506306883]>
<timeTaken: 1.5320948 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2583.1018731844133], matching: OptionalDouble[14955.492073723437]>
<timeTaken: 1.516048999 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2552.0026249369007], matching: OptionalDouble[14740.939274337346]>
<timeTaken: 1.1335811 second(s), bestFitness: -2.5, mutating: OptionalDouble[2445.6923076923076], matching: OptionalDouble[7797.095877762177]>
<timeTaken: 1.532373699 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2605.632277572776], matching: OptionalDouble[14875.089404171398]>
<timeTaken: 1.5916983 second(s), bestFitness: -2.5, mutating: OptionalDouble[2653.768968285829], matching: OptionalDouble[15564.918864707652]>
<timeTaken: 1.2196398 second(s), bestFitness: -2.25, mutating: OptionalDouble[2703.458904109589], matching: OptionalDouble[8337.23199908856]>
<timeTaken: 1.8519599 second(s), bestFitness: -3.0, mutating: OptionalDouble[2683.8284163441726], matching: OptionalDouble[19311.478719329018]>
<timeTaken: 1.805168701 second(s), bestFitness: -3.0, mutating: OptionalDouble[2798.1084355519806], matching: OptionalDouble[18581.42396943495]>
<timeTaken: 1.8805308 second(s), bestFitness: -3.0, mutating: OptionalDouble[2695.793987935317], matching: OptionalDouble[19525.36434355926]>
<timeTaken: 1.223683 second(s), bestFitness: -2.0, mutating: OptionalDouble[2579.6771118547813], matching: OptionalDouble[11288.588604296938]>
<timeTaken: 1.239836599 second(s), bestFitness: -1.75, mutating: OptionalDouble[2613.577137406496], matching: OptionalDouble[11382.459177532597]>
<timeTaken: 1.5892447 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2657.4136819303812], matching: OptionalDouble[15442.798576880266]>
<timeTaken: 1.7791116 second(s), bestFitness: -3.0, mutating: OptionalDouble[2710.351630707476], matching: OptionalDouble[18414.585899286343]>
<timeTaken: 1.614148399 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2695.890883349345], matching: OptionalDouble[15586.52325743819]>
<timeTaken: 1.6115331 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2752.7884082783626], matching: OptionalDouble[15779.047373179306]>
<timeTaken: 1.258898 second(s), bestFitness: -2.5, mutating: OptionalDouble[2695.1235578144856], matching: OptionalDouble[11498.28892654241]>
<timeTaken: 1.1991641 second(s), bestFitness: -2.0, mutating: OptionalDouble[2513.0229330114666], matching: OptionalDouble[11013.20623371417]>
<timeTaken: 1.567094099 second(s), bestFitness: -2.333333333333333, mutating: OptionalDouble[2760.791920309906], matching: OptionalDouble[15333.852515963214]>
<timeTaken: 1.207671401 second(s), bestFitness: -2.0, mutating: OptionalDouble[2554.5193046290683], matching: OptionalDouble[11083.935641686136]>
