ModelInstance: TTC_InputRDG_A.xmi
<timeTaken: 1.7443938 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[23945.185], mutation: OptionalDouble[3170.68], entireMutation: OptionalDouble[44098.837675350704], copy: OptionalDouble[4050.62124248497], matching: OptionalDouble[15552.819503574585]>
<timeTaken: 0.7928599 second(s), bestFitness: -1.1666666666666667, evaluation: OptionalDouble[14257.565], mutation: OptionalDouble[1452.259321946966], entireMutation: OptionalDouble[21720.67134268537], copy: OptionalDouble[2282.960921843687], matching: OptionalDouble[7305.089980400309]>
<timeTaken: 0.7841662 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[14324.92], mutation: OptionalDouble[1425.6688795011064], entireMutation: OptionalDouble[21617.464929859718], copy: OptionalDouble[2080.425851703407], matching: OptionalDouble[7367.4793487849865]>
<timeTaken: 0.8433355 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[14934.595], mutation: OptionalDouble[1560.8002013085054], entireMutation: OptionalDouble[23824.43386773547], copy: OptionalDouble[2138.4018036072143], matching: OptionalDouble[8120.565114506879]>
<timeTaken: 0.721735 second(s), bestFitness: -0.85, evaluation: OptionalDouble[10045.595], mutation: OptionalDouble[1397.4418604651162], entireMutation: OptionalDouble[22182.124248496995], copy: OptionalDouble[2168.1713426853707], matching: OptionalDouble[5114.7018258658]>
<timeTaken: 1.0002228 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[18937.815], mutation: OptionalDouble[1428.0336825221793], entireMutation: OptionalDouble[27827.845691382765], copy: OptionalDouble[2001.7835671342684], matching: OptionalDouble[9851.03377604533]>
<timeTaken: 0.6996362 second(s), bestFitness: -0.85, evaluation: OptionalDouble[9971.875], mutation: OptionalDouble[1389.8148148148148], entireMutation: OptionalDouble[21529.52404809619], copy: OptionalDouble[1831.6783567134269], matching: OptionalDouble[4969.9760659516]>
<timeTaken: 1.0082462 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[19451.7], mutation: OptionalDouble[1482.36], entireMutation: OptionalDouble[27600.751503006013], copy: OptionalDouble[2064.103206412826], matching: OptionalDouble[9766.515408196192]>
<timeTaken: 1.2647284 second(s), bestFitness: -3.0, evaluation: OptionalDouble[23412.78], mutation: OptionalDouble[1550.9095477386934], entireMutation: OptionalDouble[36247.6503006012], copy: OptionalDouble[2167.5250501002006], matching: OptionalDouble[13062.070001201393]>
<timeTaken: 1.2702512 second(s), bestFitness: -3.0, evaluation: OptionalDouble[23429.9], mutation: OptionalDouble[1627.632306377846], entireMutation: OptionalDouble[36420.991983967935], copy: OptionalDouble[2256.1472945891783], matching: OptionalDouble[13112.746433723352]>
<timeTaken: 0.7624968 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[14319.39], mutation: OptionalDouble[1447.378758120562], entireMutation: OptionalDouble[20692.800601202405], copy: OptionalDouble[1861.2374749498997], matching: OptionalDouble[7029.97110585763]>
<timeTaken: 0.7834514 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[14424.155], mutation: OptionalDouble[1435.545], entireMutation: OptionalDouble[21514.053106212425], copy: OptionalDouble[2058.5921843687374], matching: OptionalDouble[7305.800117174084]>
<timeTaken: 1.0181873 second(s), bestFitness: -2.333333333333333, evaluation: OptionalDouble[19080.82], mutation: OptionalDouble[1588.0793035777185], entireMutation: OptionalDouble[28561.733466933867], copy: OptionalDouble[2041.7785571142285], matching: OptionalDouble[10035.506869067169]>
<timeTaken: 1.248628 second(s), bestFitness: -3.0, evaluation: OptionalDouble[23229.25], mutation: OptionalDouble[1509.835], entireMutation: OptionalDouble[35676.047094188376], copy: OptionalDouble[2204.4038076152306], matching: OptionalDouble[12909.613288661043]>
<timeTaken: 1.2635287 second(s), bestFitness: -3.0, evaluation: OptionalDouble[23046.155], mutation: OptionalDouble[1580.296620967331], entireMutation: OptionalDouble[36615.94188376753], copy: OptionalDouble[2139.6693386773545], matching: OptionalDouble[13185.729978030757]>
<timeTaken: 0.7725959 second(s), bestFitness: -1.1666666666666667, evaluation: OptionalDouble[14236.99], mutation: OptionalDouble[1426.3704003644277], entireMutation: OptionalDouble[21093.917835671342], copy: OptionalDouble[2085.826653306613], matching: OptionalDouble[7150.191463341286]>
<timeTaken: 0.711485 second(s), bestFitness: -0.85, evaluation: OptionalDouble[10103.66], mutation: OptionalDouble[1313.118811881188], entireMutation: OptionalDouble[21987.51503006012], copy: OptionalDouble[1845.691382765531], matching: OptionalDouble[5062.153682665789]>
<timeTaken: 0.7051497 second(s), bestFitness: -0.85, evaluation: OptionalDouble[9861.74], mutation: OptionalDouble[1359.2307692307693], entireMutation: OptionalDouble[21911.573146292587], copy: OptionalDouble[1869.3486973947895], matching: OptionalDouble[5029.668564199874]>
<timeTaken: 0.7888962 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[14614.845], mutation: OptionalDouble[1445.4591043578557], entireMutation: OptionalDouble[21660.56613226453], copy: OptionalDouble[1955.0400801603207], matching: OptionalDouble[7368.249954849196]>
<timeTaken: 0.7858445 second(s), bestFitness: -1.6666666666666665, evaluation: OptionalDouble[14439.59], mutation: OptionalDouble[1448.4597631948625], entireMutation: OptionalDouble[21809.504008016032], copy: OptionalDouble[1885.1152304609218], matching: OptionalDouble[7443.794533231351]>
AVERAGES <averageevaluation: OptionalDouble[16503.42625], averagemutation: OptionalDouble[1551.968707318497], averagetimeTaken: OptionalDouble[0.9484919350000001], averagebestFitness: OptionalDouble[-1.853333333333333], averageentireMutation: OptionalDouble[26729.697394789582], averagecopy: OptionalDouble[2149.426102204409], averagematching: OptionalDouble[8837.18385076643]>
