ModelInstance: TTC_InputRDG_A.xmi
<timeTaken: 1.9309211 second(s), bestFitness: -2.333333333333333, matching: OptionalDouble[9684.328073938932], mutation: OptionalDouble[2202.914179665948], copy: OptionalDouble[11214.615768463074], evaluation: OptionalDouble[17491.54], entireMutation: OptionalDouble[44635.798403193614]>
<timeTaken: 1.1901233 second(s), bestFitness: -1.6666666666666665, matching: OptionalDouble[5902.694872201937], mutation: OptionalDouble[970.1850337354324], copy: OptionalDouble[7643.048902195609], evaluation: OptionalDouble[13770.925], entireMutation: OptionalDouble[27834.700598802396]>
<timeTaken: 1.5154259 second(s), bestFitness: -3.0, matching: OptionalDouble[9921.914659738184], mutation: OptionalDouble[931.6535195699141], copy: OptionalDouble[8494.890219560879], evaluation: OptionalDouble[17754.74], entireMutation: OptionalDouble[39512.939121756484]>
<timeTaken: 1.1775884 second(s), bestFitness: -1.6666666666666665, matching: OptionalDouble[5954.7648614004165], mutation: OptionalDouble[929.7152311240349], copy: OptionalDouble[7662.964071856288], evaluation: OptionalDouble[13614.13], entireMutation: OptionalDouble[28296.83632734531]>
<timeTaken: 1.1606607 second(s), bestFitness: -1.6666666666666665, matching: OptionalDouble[6027.025673889534], mutation: OptionalDouble[934.3391671695836], copy: OptionalDouble[7596.207584830339], evaluation: OptionalDouble[13532.17], entireMutation: OptionalDouble[27954.545908183634]>
<timeTaken: 1.3357798 second(s), bestFitness: -2.333333333333333, matching: OptionalDouble[7774.031954510871], mutation: OptionalDouble[927.3496050232935], copy: OptionalDouble[8599.940119760478], evaluation: OptionalDouble[16309.945], entireMutation: OptionalDouble[33258.60778443114]>
<timeTaken: 1.1512344 second(s), bestFitness: -1.6666666666666665, matching: OptionalDouble[5681.8424057860675], mutation: OptionalDouble[1368.4423125473365], copy: OptionalDouble[7665.324351297405], evaluation: OptionalDouble[13866.995], entireMutation: OptionalDouble[27548.058882235528]>
<timeTaken: 1.3763276 second(s), bestFitness: -2.333333333333333, matching: OptionalDouble[8251.642720787702], mutation: OptionalDouble[967.390977066292], copy: OptionalDouble[8397.025948103792], evaluation: OptionalDouble[16479.425], entireMutation: OptionalDouble[35152.5249500998]>
<timeTaken: 1.353378 second(s), bestFitness: -2.333333333333333, matching: OptionalDouble[8002.726687326438], mutation: OptionalDouble[946.8086169840556], copy: OptionalDouble[8216.017964071856], evaluation: OptionalDouble[16312.91], entireMutation: OptionalDouble[34509.24151696607]>
<timeTaken: 1.5420262 second(s), bestFitness: -3.0, matching: OptionalDouble[10010.754887218045], mutation: OptionalDouble[1003.1487025948104], copy: OptionalDouble[8815.144710578843], evaluation: OptionalDouble[17976.36], entireMutation: OptionalDouble[40708.28343313373]>
<timeTaken: 1.3553912 second(s), bestFitness: -2.333333333333333, matching: OptionalDouble[7894.010317348802], mutation: OptionalDouble[954.071317205653], copy: OptionalDouble[8814.436127744511], evaluation: OptionalDouble[16596.03], entireMutation: OptionalDouble[33685.09481037924]>
<timeTaken: 1.3889788 second(s), bestFitness: -2.333333333333333, matching: OptionalDouble[8030.13421879063], mutation: OptionalDouble[971.9380312861526], copy: OptionalDouble[8347.944111776447], evaluation: OptionalDouble[16492.855], entireMutation: OptionalDouble[35072.78443113773]>
<timeTaken: 1.1601814 second(s), bestFitness: -1.6666666666666665, matching: OptionalDouble[5875.823041181843], mutation: OptionalDouble[952.8403875573687], copy: OptionalDouble[7701.147704590819], evaluation: OptionalDouble[13600.765], entireMutation: OptionalDouble[27827.51497005988]>
<timeTaken: 1.3472104 second(s), bestFitness: -2.333333333333333, matching: OptionalDouble[7903.718309859155], mutation: OptionalDouble[952.6621587778612], copy: OptionalDouble[8268.79740518962], evaluation: OptionalDouble[16357.345], entireMutation: OptionalDouble[34411.32734530938]>
<timeTaken: 1.3263742 second(s), bestFitness: -2.333333333333333, matching: OptionalDouble[7842.873214536834], mutation: OptionalDouble[944.6307545559516], copy: OptionalDouble[8253.79241516966], evaluation: OptionalDouble[16209.385], entireMutation: OptionalDouble[34042.04091816367]>
<timeTaken: 1.3429708 second(s), bestFitness: -2.333333333333333, matching: OptionalDouble[7744.486495099992], mutation: OptionalDouble[976.0263966550804], copy: OptionalDouble[8161.856287425149], evaluation: OptionalDouble[16227.155], entireMutation: OptionalDouble[33970.64371257485]>
<timeTaken: 1.1426882 second(s), bestFitness: -1.1666666666666667, matching: OptionalDouble[5701.899649386923], mutation: OptionalDouble[1300.5206206614944], copy: OptionalDouble[7607.360279441118], evaluation: OptionalDouble[13786.875], entireMutation: OptionalDouble[27703.79241516966]>
<timeTaken: 1.09387 second(s), bestFitness: -0.85, matching: OptionalDouble[4295.96161131456], mutation: OptionalDouble[1681.6091954022988], copy: OptionalDouble[7291.307385229541], evaluation: OptionalDouble[10483.38], entireMutation: OptionalDouble[28984.555888223553]>
<timeTaken: 1.4810416 second(s), bestFitness: -3.0, matching: OptionalDouble[9900.440510992752], mutation: OptionalDouble[930.3462527090369], copy: OptionalDouble[8540.62874251497], evaluation: OptionalDouble[17450.84], entireMutation: OptionalDouble[40019.111776447106]>
<timeTaken: 1.4784311 second(s), bestFitness: -3.0, matching: OptionalDouble[9793.48038336621], mutation: OptionalDouble[911.068373905562], copy: OptionalDouble[8725.039920159681], evaluation: OptionalDouble[17458.71], entireMutation: OptionalDouble[39315.66866267465]>
AVERAGES <averageevaluation: OptionalDouble[15588.624], averagetimeTaken: OptionalDouble[1.342530155], averagemutation: OptionalDouble[1087.883041709858], averagebestFitness: OptionalDouble[-2.1674999999999995], averageentireMutation: OptionalDouble[33722.203592814374], averagecopy: OptionalDouble[8300.874500998005], averagematching: OptionalDouble[7609.727727433792]>
